Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belize,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,1000000,,,,,,,,,,,,,,,,2000000,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,6000000,4000000,2000000,4000000,2000000,2000000,1000000,14000000,17000000,1000000,2000000,2000000,12000000,16000000,23000000,17000000,16000000,1000000,11000000,52000000,39000000,28000000,2000000,,,18000000,15000000,,56000000,66000000,,11000000,25000000,16000000,9000000,2000000,,,,9000000,19000000,,,5000000,1000000,1000000,9000000,2000000,3000000,5000000,1000000,25000000,12000000,1000000,46000000,,27000000,7000000,1000000,34000000,26000000,,
Brazil,236000000,212000000,62000000,128000000,25000000,150000000,57000000,218000000,236000000,110000000,219000000,179000000,518000000,598000000,256000000,539000000,571000000,545000000,872000000,394000000,356000000,61000000,72000000,87000000,119000000,83000000,135000000,230000000,125000000,738000000,136000000,168000000,84000000,49000000,306000000,239000000,536000000,465000000,232000000,376000000,137000000,631000000,223000000,110000000,85000000,223000000,178000000,188000000,178000000,135000000,256000000,239000000,319000000,223000000,205000000,217000000,111000000,94000000,262000000,139000000,140000000,247000000,472000000
Barbados,,,,,,,,,,,,,,,,,,,,,,9000000,,,1000000,,,,,,,,,,,,,,,,,,,,,,,10000000,10000000,10000000,,,,,,,,,,,,,
Brunei Darussalam,,,,,,5000000,1000000,18000000,1000000,,5000000,18000000,2000000,1000000,15000000,1000000,0,,46000000,64000000,,8000000,12000000,85000000,60000000,,13000000,,,,4000000,4000000,,,,,17000000,31000000,7000000,4000000,,5000000,1000000,0,0,1000000,1000000,,,33000000,33000000,229000000,20000000,15000000,121000000,36000000,,,,,,0,
Bhutan,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1000000,1000000,,,,,4000000,
Botswana,,,,,,,,,,,,,,,,,,1000000,1000000,7000000,2000000,11000000,,,,4000000,,26000000,40000000,4000000,22000000,2000000,2000000,11000000,,11000000,32000000,71000000,2000000,,53000000,15000000,1000000,10000000,9000000,,,,,10000000,10000000,,6000000,8000000,,,5000000,,5000000,8000000,85000000,32000000,13000000
Central African Republic,,2000000,,,,1000000,2000000,,3000000,,,2000000,,0,,,,,0,,0,1000000,2000000,6000000,1000000,6000000,,,2000000,,,,1000000,,,,,,,,,,,,,,9000000,,0,,,7000000,,,,,,,2000000,,1000000,1000000,
Canada,171000000,1576000000,1219000000,1009000000,740000000,563000000,306000000,237000000,336000000,516000000,623000000,455000000,376000000,78000000,224000000,195000000,53000000,90000000,130000000,190000000,441000000,452000000,276000000,649000000,646000000,848000000,810000000,787000000,712000000,37000000,150000000,752000000,407000000,196000000,473000000,405000000,419000000,351000000,115000000,192000000,576000000,538000000,436000000,153000000,353000000,118000000,113000000,481000000,423000000,104000000,241000000,356000000,207000000,202000000,316000000,408000000,252000000,369000000,184000000,178000000,220000000,256000000,155000000
